shopID,price,districtID,dishID,numLike,numOK,numDislike,tasteAvg,environmentAvg,serviceAvg,shopInfo,moneyAvg,scoreWhole
13970,10to$15,1019, 1034,104,47,67,3.43,3.11,2.77,3.13,3.02,3.19
13970,10to$15,1019, 1034,104,47,67,3.43,3.11,2.77,3.13,3.02,3.19
7784,41to100,2010, 1010 1014,38,21,21,3.11,3.19,2.97,3.22,2.74,3.04
14605,41to100,1019,,24,8,9,3.61,3.29,3.22,3.29,3.32,3.38
15765,41to100,1022,,31,22,11,3.2,2.94,2.86,2.89,3.55,3.1
11741,41to100,1019,,1,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12063,41to100,1019, 1003,2,2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5286,41to100,1019, 1034,4,7,10,2.52,2.9,2.71,2.95,2.67,2.63
20089,41to100,2010,,5,2,8,2.6,2.6,2.4,3.07,2.2,2.55
12932,41to100,1019,,20,3,10,3.12,3.42,3.52,3.18,2.58,3.08
12330,Below40,1019,,1,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11615,41to100,1022, 1034,13,24,40,2.17,2.54,2.56,2.49,2.8,2.34
12425,15to$30,1003, 1032,51,17,21,3.64,3.97,3.44,4.07,2.93,3.61
9967,41to100,1003,,23,5,9,3.35,3.11,3.49,3.41,2.97,3.23
12413,15to$30,1014, 1005 1034,16,4,4,3.6,3.38,3.4,3.56,2.92,3.4
11624,Below40,2008, 1014 1015,145,23,2,4.21,3.38,3.87,3.7,3.41,3.87
1817,41to100,2029,,105,20,10,3.98,3.17,3.27,3.56,3.73,3.68
10159,Below40,1019, 1014,74,6,0,4.25,3.38,3.83,3.95,3.59,3.93
1031,15to$30,2008,,20,5,6,4.23,3.58,2.87,3.74,3.1,3.69
494,30to$50,1003, 1032,128,41,25,3.8,3.99,4.0,4.2,3.43,3.81
628,10to$15,1019, 1032,38,3,2,3.57,3.9,3.77,3.98,3.57,3.65
18271,Below40,1014, 1014 1018,2,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13026,Below40,4010,,30,17,2,3.61,2.86,3.06,3.12,3.86,3.39
1491,Below40,1022, 1020,266,84,25,4.0,2.54,3.4,2.79,4.02,3.55
436,41to100,2010,,140,57,48,3.45,3.33,2.98,3.29,3.49,3.33
18719,15to$30,1023, 1005 1034,24,5,5,3.87,3.85,3.5,4.0,3.06,3.72
12983,41to100,1003,,27,7,0,3.82,4.18,3.53,3.88,3.38,3.76
10072,Below40,1003, 1013,211,31,8,4.08,3.33,3.24,3.25,3.67,3.69
1171,10to$15,2008,,5,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3048,15to$30,1003,,14,3,0,3.56,3.53,3.59,3.68,3.38,3.5
18271,Below40,1014, 1014 1018,2,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10215,10to$15,1022,,96,23,9,3.77,3.99,3.51,3.67,3.36,3.67
628,10to$15,1019, 1032,38,3,2,3.57,3.9,3.77,3.98,3.57,3.65
1171,10to$15,2008,,5,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5986,Below40,4004,,131,51,15,3.66,3.38,3.5,3.47,3.7,3.56
13272,Below40,3002, 1014,18,3,5,3.46,2.73,3.19,3.04,3.5,3.23
13272,Below40,3002, 1014,18,3,5,3.46,2.73,3.19,3.04,3.5,3.23
12759,Below40,3002,,22,18,8,3.34,2.57,2.81,2.59,3.43,3.07
1507,30to$50,1011, 1032,237,59,50,3.98,3.92,4.05,4.27,3.3,3.9
3715,,2008, 1032 1008,99,13,9,4.26,4.23,4.37,4.48,3.67,4.18
9769,15to$30,2008, 1014,80,37,34,3.6,3.68,3.43,3.83,2.86,3.49
63,,1017, 1008,129,18,11,3.98,4.59,4.36,4.41,3.36,4.04
10392,15to$30,2008,,89,6,12,4.15,4.41,4.28,4.36,3.58,4.12
14357,30to$50,1019, 1034,54,14,10,4.04,3.76,3.67,4.0,3.47,3.85
10313,15to$30,1022, 1041,25,7,4,3.69,3.54,3.36,3.71,3.58,3.61
8206,15to$30,1017,,4,1,1,3.67,4.0,3.67,4.0,2.83,3.62
11870,15to$30,1019,,56,23,17,3.46,4.02,3.47,3.89,3.0,3.5
3666,30to$50,2008, 1024 1028 1032,277,84,60,3.74,3.95,3.92,3.99,3.44,3.75
1484,10to$15,1017, 1036,18,6,3,3.63,4.15,3.67,3.96,3.07,3.61
28468,Below40,7307,,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1911,10to$15,2028,,6,0,0,4.5,4.0,4.17,3.67,3.5,4.13
10791,15to$30,1019,,17,6,9,3.34,4.06,3.59,3.88,2.63,3.41
10167,41to100,1019,,34,7,3,3.89,4.02,3.65,3.93,3.18,3.76
11563,15to$30,1019,,50,21,19,3.62,3.54,3.27,3.66,2.74,3.45
11125,41to100,1004,,81,14,2,4.24,3.25,3.43,3.62,3.51,3.81
6161,30to$50,1022, 1032,114,42,24,3.64,4.52,3.99,4.37,3.1,3.78
10473,41to100,3017, 1034,18,29,18,2.91,3.45,3.03,3.25,2.75,2.98
6702,Below40,3006, 1014,71,21,23,3.52,3.35,3.14,3.44,3.02,3.34
8802,Below40,1019, 1003,160,42,10,3.84,3.41,3.27,3.54,3.02,3.55
7037,Below40,2028, 1006 1014,17,10,22,2.69,3.5,2.95,3.33,2.72,2.88
9972,30to$50,1019, 1034,32,13,13,3.67,4.28,3.52,4.03,2.31,3.59
16173,10to$15,1022,,63,19,6,3.88,3.93,3.79,3.83,3.41,3.77
5794,41to100,2008, 1019,101,30,22,3.69,3.14,3.22,3.35,3.19,3.42
15114,15to$30,1019, 1019,150,39,23,3.79,3.94,3.73,3.83,3.3,3.71
2619,15to$30,1019, 1009 1036,14,3,10,3.22,3.37,2.93,3.26,2.78,3.09
11596,15to$30,1019,,52,8,6,4.24,3.89,3.61,4.15,3.33,3.95
1084,41to100,1019, 1015,89,22,10,3.91,3.71,3.52,3.76,3.2,3.7
23691,,1022,,1,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23680,Below40,2030, 1003,4,4,1,3.5,3.11,3.33,3.44,3.22,3.29
10215,10to$15,1022,,96,23,9,3.77,3.99,3.51,3.67,3.36,3.67
23503,10to$15,1019, 1019 1033,13,9,4,3.69,3.77,3.81,3.62,3.08,3.64
26985,41to100,1019, 1003,1,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
