ID,homeDistrict,workDistrict,hangRoundPlace,cuisineID,dishID,numReview
16347,1012 ,,1012 1019 2010 ,2002 2004 2009 ,1004 1034 ,13
16410,3002 ,1014 ,1003 1019 2008 ,1004 2009 3011 ,1028 1014 ,1548
16429,3005 ,2005 ,2008 2010 3005 ,1004 1008 1011 ,1015 1024 1001 ,228
16482,,,,6000 ,,184
16495,,,,1004 6000 ,,15
16542,,,,2006 2009 ,,33
16576,,,,1002 3006 ,,18
16595,,,,6000 ,1032 ,39
16597,,,,2009 3006 ,,64
16599,4011 ,3021 ,4011 ,1014 1016 2010 ,1013 ,203
16672,,,,1002 2009 ,,70
16692,,1003 ,1003 1019 ,,,433
16700,,,,1004 2009 ,1034 1009 ,22
16710,2025 ,2031 ,2025 2031 ,1004 2009 6000 ,1030 1034 1009 ,63
16763,2027 ,2027 ,1019 2001 2027 ,1002 2009 6000 ,1010 1005 1020 ,244
16777,1022 ,3007 ,1022 3007 ,1002 2009 ,,30
16798,,,,1008 3006 ,1032 ,18
16848,2024 ,2004 ,2010 3005 ,1018 2004 2009 ,1034 1010 1014 ,447
16863,,,,2009 3010 ,,13
16872,,,,,1008 1014 ,12
16874,1009 ,2005 ,1003 1009 2010 ,1009 2009 4000 ,1034 ,157
16878,3003 ,3018 ,1003 2001 2008 ,1011 3006 4001 ,1024 1036 1003 ,592
16902,2031 ,,,1004 2006 2009 ,,280
16941,3003 ,3003 ,2008 3003 3018 ,3006 3010 4001 ,1014 1015 1022 ,2798
16967,,,,2009 3001 ,1014 1034 ,61
16968,,,,2004 2009 ,,32
16983,3007 ,4001 ,,1010 2001 3006 ,1008 1009 ,318
17031,1008 ,,,2002 2009 ,,16
17033,,,2008 2010 3015 ,1002 2004 2009 ,1032 1034 1016 ,44
17041,,,,1011 3006 ,,88
