CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
76739,16347,13970,1019,5,5,4,5,4
123619,16347,13970,1019,5,4,4,5,4
69895,16347,7784,2010,4,5,5,5,4
158215,16347,14605,1019,4,4,4,5,4
137974,16347,15765,1022,5,4,2,3,4
50038,16347,11741,1019,4,5,4,4,4
76640,16347,12063,1019,4,4,3,5,4
77204,16347,5286,1019,4,4,4,3,4
1859346,16347,20089,2010,4,3,4,4,3
158214,16347,12932,1019,3,4,2,4,2
76652,16347,12330,1019,3,3,2,4,3
77193,16347,11615,1022,2,4,4,3,3
45342,16410,12425,1003,5,5,4,5,5
30214,16410,9967,1003,5,3,5,4,5
43946,16410,12413,1014,5,3,5,4,4
35057,16410,11624,2008,5,3,4,4,5
30209,16410,1817,2029,5,3,4,4,5
44882,16410,10159,1019,5,3,4,4,4
37036,16410,1031,2008,5,3,4,4,4
1965226,16410,494,1003,4,4,5,5,4
1952857,16410,628,1019,4,4,5,5,4
154651,16410,18271,1014,5,3,4,4,3
62679,16410,13026,4010,5,3,3,3,5
44117,16410,1491,1022,5,3,4,3,4
27448,16410,436,2010,5,4,4,3,3
1983852,16410,18719,1023,4,4,5,5,3
1903116,16410,12983,1003,4,4,4,5,4
1903113,16410,10072,1003,5,2,4,3,4
186369,16410,1171,2008,4,4,5,4,4
186167,16410,3048,1003,4,4,4,4,5
178855,16410,18271,1014,5,2,4,3,4
154621,16410,10215,1022,5,3,4,3,3
154635,16410,628,1019,4,4,4,5,4
137325,16410,1171,2008,4,4,5,4,4
93008,16410,5986,4004,4,4,5,3,5
64669,16410,13272,3002,5,3,3,3,4
53916,16410,13272,3002,5,3,3,3,4
49740,16410,12759,3002,5,3,3,3,4
27836,16429,1507,1011,5,5,5,5,5
96253,16429,3715,2008,5,5,5,5,4
45351,16429,9769,2008,5,5,5,5,4
39718,16429,63,1017,5,5,4,5,5
27001,16429,10392,2008,5,5,5,5,4
100103,16429,14357,1019,5,5,4,5,4
59756,16429,10313,1022,5,4,4,5,5
41070,16429,8206,1017,5,5,5,5,3
40757,16429,11870,1019,5,5,5,4,4
37038,16429,3666,2008,5,5,5,4,4
30963,16429,1484,1017,5,5,5,5,3
28468,16429,28468,10392,5,5,5,4,4
25065,16429,1911,2028,5,4,5,5,4
23968,16429,10791,1019,5,5,5,4,4
23241,16429,10167,1019,5,5,4,5,4
43296,16429,11563,1019,5,5,4,4,4
42612,16429,11125,1004,5,3,5,4,5
38679,16429,6161,1022,5,5,4,5,3
35314,16429,10473,3017,5,5,4,4,4
29113,16429,6702,3006,5,4,4,4,5
28451,16429,8802,1019,5,4,5,4,4
24935,16429,7037,2028,5,4,5,4,4
23548,16429,9972,1019,5,4,4,5,4
134415,16429,16173,1022,5,4,4,4,4
109546,16429,5794,2008,5,4,4,4,4
95724,16429,15114,1019,5,5,3,4,4
95718,16429,2619,1019,5,5,4,4,3
48898,16429,11596,1019,5,4,4,5,3
46013,16429,1084,1019,5,4,4,4,4
23691,16482,23691,10215,5,5,5,5,5
23680,16482,23680,10215,5,5,5,5,5
23528,16482,10215,1022,5,5,5,5,5
23503,16482,23503,10172,5,5,5,5,5
26985,16482,26985,5182,5,5,4,5,4
26917,16482,5182,1019,5,4,4,5,4
22116,16482,7907,2010,5,2,4,5,5
22131,16482,904,2020,5,4,3,3,5
21953,16482,6035,2001,5,4,3,5,3
22539,16482,3970,1003,4,5,4,5,4
74069,16482,12382,2001,4,4,4,4,5
60464,16482,13578,2026,4,3,4,5,5
30496,16482,11063,1019,4,4,5,5,3
24406,16482,5966,2008,4,4,4,5,4
67725,16482,10272,1022,4,4,4,4,4
53751,16482,11571,1004,4,4,4,5,3
39435,16482,574,2002,4,4,4,4,4
33001,16482,5182,1019,4,4,4,4,4
27494,16482,8095,2010,4,4,4,4,4
27409,16482,9988,1003,4,4,4,5,3
27249,16482,27249,5182,4,4,4,4,4
26659,16482,3599,2008,4,5,4,5,2
32678,16495,9980,1003,5,5,5,5,3
32308,16495,10157,1022,5,3,5,4,4
22285,16495,7579,2010,5,4,4,4,4
32675,16495,1814,1003,5,3,4,3,3
154288,16495,15648,1010,5,3,3,3,3
1909730,16495,16064,1003,4,3,4,3,4
117123,16495,13292,2010,3,4,4,4,3
69934,16495,13649,1019,4,3,3,3,2
32676,16495,8506,2008,3,4,4,4,3
21898,16495,1632,3003,3,2,3,3,3
1909726,16495,7829,3018,2,4,4,3,3
22286,16495,9780,2011,2,2,2,2,4
22165,16542,3608,1010,5,5,3,4,4
42669,16542,10739,1011,5,3,3,4,3
22163,16542,10318,1019,4,4,5,4,4
22164,16542,9765,3007,4,4,5,3,4
41844,16542,5522,1003,5,2,3,3,3
42919,16542,650,1021,4,3,4,3,4
134592,16542,11020,1001,4,2,4,3,4
43403,16542,11175,1011,4,3,5,3,2
47017,16542,2842,1019,4,4,3,2,3
43017,16542,267,1008,4,3,2,3,4
22166,16542,5041,1019,3,4,3,4,4
42396,16542,5233,1003,3,3,4,3,4
43018,16542,4010,1008,4,2,2,2,3
22213,16542,9645,1019,3,3,4,3,3
157070,16542,8727,1019,3,3,3,3,3
134588,16542,15652,1003,3,3,3,3,3
43687,16542,4123,1008,3,2,3,2,5
22334,16542,10513,1003,3,4,3,3,2
134584,16542,3806,1003,2,3,4,3,3
143201,16542,14803,1019,2,3,4,2,3
79288,16542,13172,1023,2,3,3,3,3
149657,16542,10053,1019,3,3,2,1,1
22502,16576,22502,9309,5,5,5,5,5
22325,16576,2938,2008,5,5,5,4,4
22388,16576,228,1002,5,5,3,4,3
22324,16576,9309,2016,5,4,3,4,4
22317,16576,1507,1011,5,4,3,5,3
22316,16576,9887,2019,4,3,4,5,5
23923,16576,690,2008,4,4,4,3,3
23922,16576,7434,2002,4,3,4,3,4
22440,16576,468,2013,4,1,3,4,5
22321,16576,3419,2008,4,4,4,3,2
22439,16576,90,2028,4,1,3,3,5
22318,16576,61,2002,2,5,2,4,3
22319,16576,2366,3006,2,2,3,3,2
22605,16576,10605,3020,2,4,1,3,1
